GroupIdentifier,ParentGroupIdentifier,TopGroup,Sequence,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Field1,Published,Delete
52-105-0,52-0-0,false,20,"Juniors Apparel","Juniors Apparel",,,,,1,0
52-105-107,52-105-0,false,0,"Tank Tops","Tank Tops",,,,,1,0
52-105-108,52-105-0,false,0,"Short Sleeve Tops","Short Sleeve Tops",,,,,1,0
52-105-111,52-105-0,false,0,"Jeans & Pants","Jeans & Pants",,,,,1,0
52-105-113,52-105-0,false,0,"Active & Loungewear","Active & Loungewear",,,,,1,0
52-105-116,52-105-0,false,0,"Shorts","Shorts",,,,,1,0
52-105-117,52-105-0,false,0,"Skirts","Skirts",,,,,1,0
52-105-120,52-105-0,false,0,"Long Sleeve Tops","Long Sleeve Tops",,,,,1,0
52-105-122,52-105-0,false,0,"Sweaters & Jackets","Sweaters & Jackets",,,,,1,0
52-123-0,52-0-0,false,25,"Lingerie","Lingerie",,,,,1,0
